contact_name,device_name,rssi,location,duration,date,contact
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.21",23:22 min,2022-05-09 09:38:00,[B@3a607f4
SM-G780F,SM-G991B,0,"55.72, 13.21",2:29 min,2022-05-09 01:02:00,[B@3ad1420
SM-G780F,SM-G991B,0,"- , -",58 sec,2022-05-09 11:22:00,[B@3b8dd19
SM-G780F,SM-G991B,0,"- , -",27:07 min,2022-05-09 11:11:00,[B@3bed12f
Lenovo TB-X505F,G8341,-78,"55.71, 13.23",13 sec,2022-05-11 11:01:00,[B@3bef6f4
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",24 sec,2022-05-10 11:26:00,[B@3c4a8fc
SM-G991B,SM-G780F,0,"55.72, 13.21",1:06 min,2022-05-09 09:37:00,[B@3c6a30e
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",4:33 min,2022-05-12 07:39:00,[B@3c6c099
SM-G991B,SM-G780F,0,"55.72, 13.21",52 sec,2022-05-09 02:00:00,[B@3cc6de1
SM-G991BSP1A.210812.016,SM-G780F,0,"55.72, 13.22",13 sec,2022-05-10 09:52:00,[B@3d55eb4
Nokia 7.2,SM-G780F,0,"55.72, 13.22",4:53 min,2022-05-03 01:34:00,[B@3db14a6
SM-M315F,SM-G991B,0,"- , -",5:40 min,2022-05-09 08:49:00,[B@3dc908c
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",6:46 min,2022-05-10 10:36:00,[B@3e517ac
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",34 sec,2022-05-12 07:55:00,[B@3e8208a
SM-G780FSP1A.210812.016,Lenovo TB-X505F,0,"- , -",40:51 min,2022-05-10 08:57:00,[B@3eb26dd
Nokia 7.2,SM-G991B,0,"- , -",1:43 min,2022-05-09 03:31:00,[B@3f13354
Nokia 7.2,SM-G780F,0,"- , -",14 sec,2022-05-09 01:08:00,[B@3f41f8b
SM-G780F,SM-G991B,0,"- , -",1:20 min,2022-05-09 11:10:00,[B@4036cf9
Nokia 7.2RKQ1.210607.001,Lenovo TB-X505F,0,"55.72, 13.22",15 sec,2022-05-11 11:43:00,[B@405583
